Código Nacional	Codigo Articulo	Descripción	Formato	PVL sin IVA 2026	PVP IVA Recomendado 2026	TIPO DE IVA	HEROE & BEST SELLER	Nombre Gama España	MARCA	TIPO DE PEDIDO FARMACIA
222970.9	P0017385	EXOMEGA GEL-CREMA FACIAL CALMANTE	40 ML	17,60	25,50	21%	HÉROE	EXOMEGA FACIAL	AD-A-DERMA	DIRECTO
222969.3	P0017386	EXOMEGA BÁLSAMO PALPEBRAL CALMANTE	15 ML	14,70	21,30	21%		EXOMEGA FACIAL	AD-A-DERMA	DIRECTO
220460.7	P0017782	EXOMEGA ACEITE 1L PVP ESPECIAL	1000ML	15,60	19,90	21%	HÉROE	EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
220460.Q	P0018684	EXOMEGA DUO ACEITE 1L	1000ML + 1000ML	24,96	31,84	21%		EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
345553.4	P0015966	EXOMEGA CONTROL ACEITE LIMPIADOR	500ML	11,70	14,90	21%		EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
305722.6	P0016682	EXOMEGA CONTROL BAÑO NOCHE 200ML	200 ML	10,70	13,70	21%		EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
174835.5	P0013918	EXOMEGA CONTROL ACEITE LIMPIADOR ECO-RECAMBIO	500ML	10,90	13,90	21%		EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
311955.9	P0011697	EXOMEGA CONTROL GEL LIMPIADOR 2 EN 1	500ML	11,70	14,90	21%		EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
311955.R	P0017137	EXOMEGA DÚO GEL LIMPIADOR 2 EN 1	2 X 500 ML	11,70	14,90	21%		EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
164334.6	P0011633	EXOMEGA CONTROL GEL ESPUMOSO	500ML	11,70	14,90	21%		EXOMEGA HIGIENE	AD-A-DERMA	DIRECTO
170675.1	P0016272	EXOMEGA CREMA 400ML PR ESP MARCADO ESPECIAL	400 ML	18,20	23,20	21%	HÉROE	EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
170675.T	P0017135	EXOMEGA DÚO CREMA	2 X 400ML	29,12	37,10	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
348268.4	P0013373	EXOMEGA CONTROL CREMA EMOLIENTE	200 ML	12,60	18,40	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
172873.9	P0013372	EXOMEGA CONTROL CREMA EMOLIENTE	50 ML	7,20	10,50	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
202494.6	P0013370	EXOMEGA CONTROL BÁLSAMO EMOLIENTE	400 ML	18,20	23,20	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
163780.2	P0013381	EXOMEGA CONTROL BÁLSAMO EMOLIENTE	200 ML	12,60	18,40	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
198107.3	P0013374	EXOMEGA CONTROL SPRAY EMOLIENTE	200 ML	14,60	21,30	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
198106.6	P0013375	EXOMEGA CONTROL SPRAY EMOLIENTE	50 ML	10,40	15,20	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
392902.8	P0013368	EXOMEGA CONTROL LECHE EMOLIENTE	400 ML	18,20	23,20	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
178177.2	P0013412	EXOMEGA CONTROL LECHE EMOLIENTE	200 ML	12,60	18,40	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
217714.7	P0016836	EXOMEGA CONTROL CREMA NOCHE	400 ML	18,90	24,10	21%	HÉROE	EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
215721.7	P0016683	EXOMEGA CTRL CREMA SPF 50+ 150ML AD	150 ML	16,50	21,10	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
204791.4	P0013371	EXOMEGA ALLERGO BÁLSAMO EMOLIENTE	200 ML	15,70	22,90	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
204790.7	P0013304	EXOMEGA ALLERGO BÁLSAMO EMOLIENTE	40 ML	10,21	14,90	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
	P0017383	AD EXOMEGA FACIAL SERUM	30 ML	21,90	31,90	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
	P0017385	AD EXOMEGA FACIAL GEL CREMA	40 ML	17,60	25,50	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
	P0017386	AD EXOMEGA FACIAL PALPEBRAL	15 ML	14,70	21,30	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
	P0017387	AD EXOMEGA ACEITE DESMAQUILLANTE	200 ML	12,40	17,90	21%		EXOMEGA CUIDADOS	AD-A-DERMA	DIRECTO
367615.1	P0016945	DERMOPAN PASTILLA	100G	7,30	10,60	21%		HIGIENE LOS INDISPENSABLES	AD-A-DERMA	DIRECTO
184093.6	P0016400	GEL DUCHA SOBREGRASO 500ML AD 24	500ML	12,20	17,90	21%		HIGIENE LOS INDISPENSABLES	AD-A-DERMA	DIRECTO
214408.8	P0016403	CREMA DE DUCHA HIDRATANTE 500ML AD	500ML	12,20	17,90	21%		HIGIENE LOS INDISPENSABLES	AD-A-DERMA	DIRECTO
195186.1	P0010151	STICK LABIAL	4G	5,90	8,60	21%		CUIDADOS LOS INDISPENSABLES	AD-A-DERMA	DIRECTO
348870.9	P0013937	CREMA DE MANOS Y UÑAS	50ML	7,60	10,90	21%		CUIDADOS LOS INDISPENSABLES	AD-A-DERMA	DIRECTO
165005.4	P0017634	DERMALIBOUR+ CICA CREMA REPARADORA PURIFICANTE	100ML	13,90	20,10	21%		DERMALIBOUR	AD-A-DERMA	DIRECTO
258863.9	P0017635	DERMALIBOUR+ CICA CREMA REPARADORA PURIFICANTE	50ML	8,90	12,90	21%		DERMALIBOUR	AD-A-DERMA	DIRECTO
195188.5	P0017636	DERMALIBOUR+ CICA CREMA REPARADORA PURIFICANTE	15ML	4,90	7,10	21%		DERMALIBOUR	AD-A-DERMA	DIRECTO
199816.3	P0011445	DERMALIBOUR+ CICA BÁLSAMO LABIAL REPARADOR	15ML	6,25	8,95	21%		DERMALIBOUR	AD-A-DERMA	DIRECTO
268243.6	P0015309	DERMALIBOUR+ BARRIER CREMA AISLANTE	100ML	13,80	20,00	21%		DERMALIBOUR	AD-A-DERMA	DIRECTO
170461.0	P0011768	DERMALIBOUR+ CICA GEL ESPUMOSO PURIFICANTE	200ML	12,80	18,60	21%		DERMALIBOUR	AD-A-DERMA	DIRECTO
181057.1	P0006770	CYTELIUM SPRAY SECANTE CALMANTE	100ML	10,50	15,30	21%		CYTELIUM	AD-A-DERMA	DIRECTO
324611.8	P0016946	AD EPITHELIALE AH ULTRA CR 100ML	100ML	16,00	23,40	21%		EPITHELIALE	AD-A-DERMA	DIRECTO
347898.4	P0016951	AD EPITHELIALE AH ULTRA CR 40ML	40ML	12,30	17,90	21%		EPITHELIALE	AD-A-DERMA	DIRECTO
199421.9	P0016944	AD EPITHELIALE AH ULTRA 50+ CR 40ML	40ML	13,00	18,90	21%		EPITHELIALE	AD-A-DERMA	DIRECTO
213170.5	P0017380	EPITHELIALE AH ULTRA BALS 50G	50G	12,30	17,90	21%		EPITHELIALE	AD-A-DERMA	DIRECTO
187614.0	P0011748	EPITHELIALE AH MASSAGE GEL-ACEITE DE MASAJE ANTI-MARCAS	40ML	13,30	19,40	21%		EPITHELIALE	AD-A-DERMA	DIRECTO
347898.P	P0018187	AD EXPOSITOR EPITHELIALE UR CREMA + CREMA SPF50+	3X40ML + 3X40ML	75,90		21%		EPITHELIALE	AD-A-DERMA	DIRECTO
210748.9	P0017755	CUTALGAN ROLL ON POCKET 10ML	10ML	7,00	8,90	21%		CUTALGAN	AD-A-DERMA	DIRECTO
191357.9	P0008751	CUTALGAN SPRAY REFRESCANTE ULTRACALMANTE	100ML	10,40	15,20	21%		CUTALGAN	AD-A-DERMA	DIRECTO
177285.5	P0013308	ADERMA PROTECT AC FLUIDO SOLAR FACIAL MATIFICANTE SPF50+	40ML	16,40	20,90	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
177283.1	P0003146	ADERMA PROTECT CREMA SOLAR SPF50+	40ML	16,40	20,90	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
189015.3	P0007509	ADERMA PROTECT CREMA SOLAR FACIAL SIN PERFUME SPF50+	40ML	16,40	20,90	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
177284.8	P0008100	ADERMA PROTECT FLUIDO SOLAR INVISIBLE SPF50+	40ML	16,40	20,90	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
177314.2	P0017762	ADERMA PROTECT SPRAY SOLAR SPF50+	200ML	20,80	26,50	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
177315.9	P0016834	ADERMA PROTECT SPRAY SOLAR INFANTIL SPF50+ 2025	200ML	20,80	26,50	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
185477.3	P0004924	ADERMA PROTECT LECHE SOLAR SPF50+	250ML	22,90	28,90	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
185478.0	P0004925	ADERMA PROTECT LECHE SOLAR INFANTIL SPF50+	250ML	22,90	28,90	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
194499.3	P0009754	ADERMA PROTECT X-TREM STICK SOLAR INVISIBLE SPF50+	8G	12,60	15,90	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
177317.3	P0003150	ADERMA PROTECT AH LECHE REPARADORA PARA DESPUES DEL SOL	250ML	16,70	21,30	21%		ADERMA PROTECT	AD-A-DERMA	DIRECTO
209762.9	P0013915	BIOLOGY HYALU SERUM 3 EN 1	30ML	21,90	31,90	21%		BIOLOGY	AD-A-DERMA	DIRECTO
202988.0	P0012398	BIOLOGY AR. CUIDADO DERMATOLÓGICO ANTIROJECES	40ML	17,40	25,30	21%		BIOLOGY	AD-A-DERMA	DIRECTO
202167.9	P0012102	BIOLOGY CREMA HIDRATANTE DERMATOLÓGICA LIGERA	40ML	16,20	23,50	21%		BIOLOGY	AD-A-DERMA	DIRECTO
202166.2	P0012111	BIOLOGY CREMA HIDRATANTE DERMATOLÓGICA RICA	40ML	16,20	23,50	21%		BIOLOGY	AD-A-DERMA	DIRECTO
208142.0	P0013919	BIOLOGY ESPUMA LIMPIADORA DERMATOLÓGICA HIDRAPROTECTORA	150ML	11,90	17,40	21%		BIOLOGY	AD-A-DERMA	DIRECTO
202989.7	P0012405	BIOLOGY AGUA MICELAR DERMATOLÓGICA	400ML	10,50	15,20	21%		BIOLOGY	AD-A-DERMA	DIRECTO
202386.4	P0012113	BIOLOGY LECHE DESMAQUILLANTE DERMATOLÓGICA	400ML	13,30	19,40	21%		BIOLOGY	AD-A-DERMA	DIRECTO
181532.3	P0014611	BIOLOGY AC GLOBAL CUIDADO MATIFICANTE ANTI- IMPERFECCIONES	40ML	15,10	21,90	21%		BIOLOGY AC	AD-A-DERMA	DIRECTO
184988.5	P0014613	BIOLOGY AC PERFECT FLUIDO AINTI-IMPERFECCIONES ANTI- MARCAS	40ML	16,80	24,30	21%		BIOLOGY AC	AD-A-DERMA	DIRECTO
181531.6	P0014610	BIOLOGY AC HYDRA CREMA COMPENSADORA ULTRA CALMANTE	40ML	14,75	21,50	21%		BIOLOGY AC	AD-A-DERMA	DIRECTO
181530.9	P0014607	BIOLOGY AC AGUA MICELAR LIMPIADORA PURIFICANTE	400ML	12,00	17,50	21%		BIOLOGY AC	AD-A-DERMA	DIRECTO
181527.9	P0014609	BIOLOGY AC GEL ESPUMOSO LIMPIADOR PURIFICANTE	400ML	13,80	20,00	21%		BIOLOGY AC	AD-A-DERMA	DIRECTO
352829.0	P0016201	DEXERYL CREMA EMOLIENTE	250 G	6,90	10,05	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
159078.7	P0015687	DEXERYL CREMA EMOLIENTE	500 G	11,20	16,30	21%	HÉROE	EMO-EMOLLIENT	DEXERYL	DIRECTO
352829.P	P0017082	KIT DEXERYL CR 250G PRECIO ESPECIAL	250 G	5,04	6,95	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
159078.P	P0016615	KIT DUO DEXERYL CREMA	2 X 500 G	16,80	24,40	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
353350.8	P0015686	DEXERYL CREMA EMOLIENTE	50 G	3,11	4,55	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
215369.1	P0016609	DEXERYL LOCIÓN NUTRITIVA	500 ML	10,94	15,90	21%	HÉROE	EMO-EMOLLIENT	DEXERYL	DIRECTO
